host,name,group,community,cbqos,activated.NMIS,version,username,authpassword,authprotocol,privpassword,privprotocol,roleType,model,netType,threshold,ping,collect
10.10.10.1,Name_Node01,NMIS9,,none,1,snmpv3,NOC_SNMPv3,D@tac3nt3r,sha,Priv_NOC!,aes,default,automatic,default,0,1,1
10.10.10.2,Name_Node02,Monterrey,,none,1,snmpv3,NOC_SNMPv3,D@tac3nt3r,sha,Priv_NOC!,des,default,,default,0,1,1
10.10.10.3,Name_Node03,Monterrey,,none,1,snmpv3,NOC_SNMPv3,D@tac3nt3r,sha,Priv_NOC!,aes,default,,default,0,1,1
10.10.10.4,Name_Node04,Monterrey,,none,1,snmpv3,NOC_SNMPv3,D@tac3nt3r,sha,Priv_NOC!,des,default,,default,0,1,1
192.168.100.5,Name_Node05,California,Com_SNMP_n0C#,none,1,snmpv2c,,,,,,default,,default,0,1,1
192.168.100.6,Name_Node06,California,Com_SNMP_n0C#,output,1,snmpv2c,,,,,,default,,default,0,0,1
192.168.100.7,Name_Node07,California,Com_SNMP_n0C#,none,1,snmpv2c,,,,,,default,,default,0,0,1
192.168.100.8,Name_Node08,California,Com_SNMP_n0C#,none,1,snmpv2c,,,,,,default,,default,0,1,1
Node_Datacenter_RT03,Name_Node09,Datacenter_AUS,Com_SNMP_n0C#,none,1,snmpv2c,,,,,,default,,default,0,1,1
Node_Datacenter_RT04,Name_Node10,Datacenter_AUS,Com_SNMP_n0C#,none,1,snmpv2c,,,,,,core,HuaweiRouter,default,0,1,1
Node_Datacenter_RT05,Name_Node11,Datacenter_AUS,,output,1,snmpv3,NOC_SnMp,LocalCEnter,sha,,aes,core,HuaweiRouter,default,0,1,0
Node_Datacenter_RT06,Name_Node12,Datacenter_AUS,,output,1,snmpv3,NOC_SnMp,LocalCEnter,sha,,aes,core,HuaweiRouter,default,0,1,0
